informal,formal
درمان موهای زائد با کمترین قیمت و تضمینی. تا ۸ جلسه اگر درمان نشدید باقی جلسات رایگان برای شما انجام میشود. مشاوره و تست دستگاه رایگان. فول بادی فقط ۲۵۰ هزار تومان . دستگاه دایود الکس,درمان موهای زائد با کمترین قیمت و تضمینی. تا ۸ جلسه اگر درمان نشدید باقی جلسات رایگان برای شما انجام می شود. مشاوره و تست دستگاه رایگان. فول بادی فقط ۲۵۰ هزار تومان . دستگاه دایود الکس
بچگی توپ چلتیکه بوده ته اون کوچه تاریکه بوده... دیگه خدا میدونه چه اتفاقایی افتاده,بچگی توپ چلتیکه بوده ته اون کوچه تاریکه بوده است. دیگه خدا می داند چه اتفاق هایی افتاده
لطفا تگ ادرس اپارات رو از زیر ویدیوها حذف کنید! این بی احترامی به مخاطب توی فیلیمو هست,لطفا تگ ادرس اپارات را از زیر ویدیوها حذف کنید! این بی احترامی به مخاطب در فیلیمو هست
دوست عزیز ممیزی هم از اپارات پخش میشه و هم از فیلیمو و اینکه ما و آپارات یک مجموعه هستیم,دوست عزیز ممیزی هم از اپارات پخش می‌شود و هم از فیلیمو و اینکه ما و آپارات یک مجموعه هستیم
احتمالا جوجه پنبه ای هم بوده گه گوداری,احتمالا جوجه پنبه‌ای هم بوده است گه گداری
"دوست دارید این آخر هفته چه فیلمی ببینید؟
  1️⃣ آشغال‌های دوست داشتنی
  2️⃣ پری‌ناز
  3️⃣ شیرشاه همراه با دوبله اختصاصی
  4️⃣ ال کامینو: فیلم برکینگ بد
 فیلم مورد نظرتون که قراره این آخر هفته ببینید رو برامون کامنت کنید
  به قید قرعه به یکی از کامنت ها اشتراک یک ماهه ی فیلیموجایزه میدیم","دوست دارید این آخر هفته چه فیلمی ببینید؟
  1 آشغال‌های دوست داشتنی
  2 پری‌ناز
  3 شیرشاه همراه با دوبله اختصاصی
 4 ال کامینو: فیلم برکینگ بد
 فیلم مورد نظرتان که قراره این آخر هفته ببینید رو برامون کامنت کنید
  به قید قرعه به یکی از کامنت ها اشتراک یک ماهه ی فیلیمو جایزه می‌دهیم"
فیلیمو it2رو کی میزاری,فیلیمو it2 را کی می‌گذارید
آشغالهای دوستداشتنی رو از فیلیمو دیدم دوست داشتم پریناز رو هم دیدم.,آشغال‌های دوست داشتنی را از فیلیمو دیدم دوست داشتم. پریناز را هم دیدم.
چرا فیلمهها و سریال های خارجی برای من نمایش داده نمیشن؟,چرا فیلم‌ها و سریال‌های خارجی برای من نمایش داده نمی‌شوند؟
سلام چرا فيلم هاي عاشقانه هندي نميذاريد يا مدل هاي ديگه قسمت فيلم هاي عاشقانتون خيليييييي دير ب دير پر مبشه ي جوري فيلم بذاريد كه با توجه ب همه سليقه ها باشه,سلام چرا فيلم‌هاي عاشقانه هندي نمي‌گذاريد يا مدل‌هاي ديگه قسمت فيلم‌هاي عاشقانتان بسیار دير به دير پر می‌شود. يک طوری فيلم بگذاريد كه با توجه به همه سليقه‌ها باشد.
اگه میشه آرشیو فیلم های هندی تون رو بیشتر کنید ، با شخصیت هایی مثل شاهرخ خان ، سلمان خان و...,اگر می‌شود آرشیو فیلم‌های هندی‌تان را بیشتر کنید، با شخصیت هایی مثل شاهرخ خان، سلمان خان و.
سلام و عرض خسته نباشیدلگ به دست اندکاران عزیز فیلیمو,سلام و عرض خسته نباشید به دست اندکاران عزیز فیلیمو
میخواستم بدونم فراز از زندان کله فصل هاش هستش تو فبلیمو,می‌خواستم بدانم فرار از زندان کل فصل‌هایش است در فبلیمو
برکینگ بد سریالش چطوره؟ارزش نگاه کردنو داره یا نه؟,برکینگ بد سریالش چطور است؟ ارزش نگاه کردن را دارد یا نه؟
سلام لطفا سریال چه کسی خواهر مری را کشت را بگذارید,سلام لطفا سریال چه کسی خواهر مری را کشت را بگذارید
ببخشید ال کامینو رو پخش میکنید به نتفلیکس پول کپی رایتو میدید یا نه؟بعد نمیدید از ما پول میگیرید؟رقبا رو هم که جای رقابت حذف میکنید!!,ببخشید ال کامینو را پخش می‌کنید به نتفلیکس پول کپی رایت را می‌دهید یا نه؟ بعد نمی‌دهید از ما پول می گیرید؟ رقبا را هم که جای رقابت حذف می کنید!
پری ناااززز خیلی داستان پیچیده و بی سروته و نامفهومی داشت,پری ناز بسیار داستان پیچیده و بی سر و انتها و نامفهومی داشت
به تیم محتوا ارجاع داده میشه حتما,به تیم محتوا ارجاع داده می‌شود حتما
خیلی وقته سریال دسته رو آپدیت نکردید دو فصل دیگه داره,بسیار وقت است سریال دسته را آپدیت نکرده‌اید دو فصل دیگر دارد
برکینگ بد رو ندیدم اگه بشه میخوام ببینم,برکینگ بد را ندیدم اگر بشود می‌خواهم ببینم
لطفاً دوبله فیلم داستان اسباب بازی ها رو بذارید.,لطفاً دوبله فیلم داستان اسباب بازی ها را بگذارید.
فیلیمو بریکینگ بد بزار و اینکه بابت زحماتتون بسیار متشکریم خواهشمندیم انیمه ی بوروتو رو هم تو اولویت هایتان بگزارین من یبار دگ از اول دارم میبینم وسطاشم سپاااااااس,فیلیمو بریکینگ بد بگذار و اینکه بابت زحماتتون بسیار متشکریم خواهشمندیم انیمه ی بوروتو را هم تو اولویت هایتان بگذارین من یک بار دیگر از اول دارم می بینم وسط آن هستم سپاس
لطفااا فیلم های طنز بیشتر پخش کنید,لطفا فیلم‌های طنز بیشتر پخش کنید
چرا برای ایرانسل یا همراه اول رایگان.نمیکنید حجمشو رایگان کنید دگه.قیمت اشتراک بیشتر لطفا ی کاریش بکنید,چرا برای ایرانسل یا همراه اول رایگان نمی‌کنید حجم آن را رایگان کنید دیگر. قیمت اشتراک بیشتر لطفا یک کاریش بکنید
ترافیک رایگانه؟اشتراک داشته باشیم از حجم بسته هم تموم میشه؟,ترافیک رایگان است؟ اشتراک داشته باشیم از حجم بسته هم تمام می‌شود؟
لطفا فیلم هندی دانگل ( پرفروش ترین فیلم تاریخ سینمای هند ) رو دوبله بفرمائید,لطفا فیلم هندی دانگل ( پرفروش ترین فیلم تاریخ سینمای هند) را دوبله بفرمائید
ٱشغالهای دوست داشتنی که جالب نبود ال کامینو هم فقط به دوستانی که بریکینگ بد رو دیدند توصیه میکنم ببینند وگرنه سر در نمیارید اون وقت می نویسید چرت بود,ٱشغال‌های دوست داشتنی که جالب نبود ال کامینو هم فقط به دوستانی که بریکینگ بد را دیدند توصیه می‌کنم ببینند وگرنه سر در نمی‌آورید آن وقت می‌نویسید چرت بود
